County,Election,absentees_issued,absentees_counted,Total Voters,Total Ballots,Population_2010,RUCC_2013,Description,turnout,absentee_%_of_ballots,absentee_%_of_population,population_1000s
PIERCE COUNTY,2020_04_07_all_ward,6338,5747,9461,9458.0,41019.0,1.0,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,0.23057607450206002,0.6076337492070205,0.14010580462712402,41.019
POLK COUNTY,2020_04_07_all_ward,5633,4934,11778,11589.0,44205.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.26216491347132675,0.42574855466390543,0.1116163329940052,44.205
PORTAGE COUNTY,2020_04_07_all_ward,14921,13521,20252,20253.0,70019.0,4.0,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",0.2892500606978106,0.6676047992889942,0.19310472871649123,70.019
PRICE COUNTY,2020_04_07_all_ward,2740,2564,4800,4632.0,14159.0,9.0,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",0.327141747298538,0.5535405872193437,0.18108623490359488,14.159
RACINE COUNTY,2020_04_07_all_ward,44938,39758,52888,51965.0,195408.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.265930770490461,0.7650918887712884,0.2034614754769508,195.408
RICHLAND COUNTY,2020_04_07_all_ward,2916,2673,4338,4333.0,18021.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.24044170689750846,0.6168936072005539,0.1483269518894623,18.021
ROCK COUNTY,2020_04_07_all_ward,30601,27181,37219,33520.0,160331.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.20906749162669727,0.8108890214797136,0.16953053370839077,160.331
RUSK COUNTY,2020_04_07_all_ward,1950,1744,3771,3771.0,14755.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.255574381565571,0.46247679660567487,0.11819722128092172,14.755
SAUK COUNTY,2020_04_07_all_ward,15374,14108,19545,19548.0,61976.0,4.0,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",0.3154124177100813,0.7217106609371803,0.22763650445333677,61.976
SAWYER COUNTY,2020_04_07_all_ward,3105,2755,4982,3741.0,16557.0,7.0,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",0.22594672947997826,0.7364341085271318,0.1663948782992088,16.557
SHAWANO COUNTY,2020_04_07_all_ward,6408,6064,10058,10060.0,41949.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.23981501346873585,0.6027833001988071,0.14455648525590598,41.949
SHEBOYGAN COUNTY,2020_04_07_all_ward,26156,23631,32954,30169.0,115507.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.26118763364990866,0.7832874805263681,0.204585003506281,115.507
ST. CROIX COUNTY,2020_04_07_all_ward,15001,12889,21609,19477.0,84345.0,1.0,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,0.2309206236291422,0.6617548903835293,0.15281285197699923,84.345
TAYLOR COUNTY,2020_04_07_all_ward,2832,2635,5134,5127.0,20689.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.24781284740683454,0.5139457772576556,0.12736236647493837,20.689
TREMPEALEAU COUNTY,2020_04_07_all_ward,4082,3718,6721,6028.0,28816.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.20918933925596891,0.6167883211678832,0.12902554136590783,28.816
VERNON COUNTY,2020_04_07_all_ward,5279,4802,8062,8062.0,29773.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.2707822523763141,0.5956338377573803,0.16128707217949148,29.773
VILAS COUNTY,2020_04_07_all_ward,5612,5133,7767,7770.0,21430.0,9.0,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",0.3625758282781148,0.6606177606177606,0.23952403173121792,21.43
WALWORTH COUNTY,2020_04_07_all_ward,22370,20433,27811,25623.0,102228.0,4.0,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",0.25064561568259186,0.7974476056667837,0.19987674609695974,102.228
WASHBURN COUNTY,2020_04_07_all_ward,2843,2564,5014,5014.0,15911.0,7.0,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",0.31512789893784177,0.511368169126446,0.16114637672050783,15.911
WASHINGTON COUNTY,2020_04_07_all_ward,40194,37706,46922,46569.0,131887.0,1.0,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,0.3530977276001425,0.8096802594000301,0.28589625967684457,131.887
WAUKESHA COUNTY,2020_04_07_all_ward,132651,121684,145878,145901.0,389891.0,1.0,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,0.37420971502291667,0.8340175872680791,0.3120974836556884,389.891
WAUPACA COUNTY,2020_04_07_all_ward,9505,8748,13673,13670.0,52410.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.2608280862430834,0.6399414776883687,0.16691471093302804,52.41
WAUSHARA COUNTY,2020_04_07_all_ward,3966,3616,6432,6432.0,24496.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.26257348138471587,0.5621890547263682,0.14761593729588504,24.496
WINNEBAGO COUNTY,2020_04_07_all_ward,39430,32609,45968,44812.0,166994.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.2683449704779812,0.7276845487815764,0.19527048876007522,166.994
WOOD COUNTY,2020_04_07_all_ward,14486,13288,21496,21495.0,74749.0,4.0,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",0.2875623754163935,0.6181902768085601,0.1777682644583874,74.749
