County,Election,absentees_issued,absentees_counted,Total Voters,Total Ballots,Population_2010,RUCC_2013,Description,turnout_%,absentee_%_of_voters,absentee_%_of_population,population_1000s,FIPS
PEPIN COUNTY,2021_04_06-spring_election,210,147,1136,1136.0,7469.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.1520953273530593,0.12940140845070422,0.019681349578256794,7.469,55091
PIERCE COUNTY,2021_04_06-spring_election,2021,1440,5642,5642.0,41019.0,1.0,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,0.1375460152612204,0.25522864232541653,0.035105682732392306,41.019,55093
POLK COUNTY,2021_04_06-spring_election,2110,1359,7432,7432.0,44205.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.1681257776269653,0.18285791173304627,0.030743128605361384,44.205,55095
PORTAGE COUNTY,2021_04_06-spring_election,4518,3417,10960,10727.0,70019.0,4.0,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",0.15652894214427512,0.3117700729927007,0.04880103971779089,70.019,55097
PRICE COUNTY,2021_04_06-spring_election,704,503,2691,2587.0,14159.0,9.0,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",0.19005579490076982,0.18691936083240432,0.03552510770534642,14.159,55099
RACINE COUNTY,2021_04_06-spring_election,13226,8639,25845,25842.0,195408.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.1322617293048391,0.3342619462178371,0.04421006304757226,195.408,55101
RICHLAND COUNTY,2021_04_06-spring_election,810,609,3430,3430.0,18021.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.19033349980578215,0.17755102040816326,0.033793907108373565,18.021,55103
ROCK COUNTY,2021_04_06-spring_election,10536,7215,20196,20196.0,160331.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.12596441112448623,0.3572489601901367,0.045000654895185586,160.331,55105
RUSK COUNTY,2021_04_06-spring_election,705,321,2365,2365.0,14755.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.1602846492714334,0.1357293868921776,0.021755337173839377,14.755,55107
SAUK COUNTY,2021_04_06-spring_election,4213,3099,11002,11001.0,61976.0,4.0,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",0.17752033045049698,0.2816760588983821,0.05000322705563444,61.976,55111
SAWYER COUNTY,2021_04_06-spring_election,1258,925,2960,2956.0,16557.0,7.0,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",0.17877634837228967,0.3125,0.05586760886634052,16.557,55113
SHAWANO COUNTY,2021_04_06-spring_election,1717,1262,6424,6425.0,41949.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.1531383346444492,0.1964508094645081,0.03008414980094877,41.949,55115
SHEBOYGAN COUNTY,2021_04_06-spring_election,7550,5692,20233,20235.0,115507.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.17516687300336775,0.2813225918054663,0.04927839871176639,115.507,55117
TAYLOR COUNTY,2021_04_06-spring_election,717,646,5140,5140.0,20689.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.2484412006380202,0.12568093385214008,0.031224322103533278,20.689,55119
TREMPEALEAU COUNTY,2021_04_06-spring_election,779,567,3586,3466.0,28816.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.1244447529150472,0.1581148912437256,0.01967656857301499,28.816,55121
VERNON COUNTY,2021_04_06-spring_election,1126,799,4751,4751.0,29773.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.15957411077150438,0.16817512102715218,0.026836395391797937,29.773,55123
VILAS COUNTY,2021_04_06-spring_election,1901,1492,5087,5086.0,21430.0,9.0,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",0.23737750816612227,0.2932966384902693,0.06962202519832011,21.43,55125
WALWORTH COUNTY,2021_04_06-spring_election,6633,4866,17747,17746.0,102228.0,4.0,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",0.17360214422663067,0.2741871865667437,0.047599483507453924,102.228,55127
WASHBURN COUNTY,2021_04_06-spring_election,816,565,2879,2879.0,15911.0,7.0,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",0.1809440010055936,0.19624869746439735,0.03551002451134435,15.911,55129
WASHINGTON COUNTY,2021_04_06-spring_election,8766,6280,24383,24383.0,131887.0,1.0,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,0.18487796371135898,0.2575564942788008,0.04761652020290097,131.887,55131
WAUKESHA COUNTY,2021_04_06-spring_election,35962,25800,82771,80936.0,389891.0,1.0,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,0.2122926664118946,0.3117033743702505,0.06617234047464547,389.891,55133
WAUPACA COUNTY,2021_04_06-spring_election,2392,1643,8000,8003.0,52410.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.1526426254531578,0.205375,0.031348979202442284,52.41,55135
WAUSHARA COUNTY,2021_04_06-spring_election,939,624,3324,3322.0,24496.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.13569562377531025,0.18772563176895307,0.025473546701502287,24.496,55137
WINNEBAGO COUNTY,2021_04_06-spring_election,11526,7914,25514,25235.0,166994.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.15278393235685114,0.3101826448224504,0.047390924224822446,166.994,55139
WOOD COUNTY,2021_04_06-spring_election,4497,3214,11276,11277.0,74749.0,4.0,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",0.15085151640824626,0.28503015253636044,0.04299723073218371,74.749,55141
