County,Election,absentees_issued,absentees_counted,Total Voters,Total Ballots,Population_2010,RUCC_2013,Description,turnout_%,absentee_%_of_voters,absentee_%_of_population,population_1000s,FIPS
ADAMS COUNTY,2022_04_05-spring_election,553,325,2410,2410.0,20875.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.11544910179640719,0.13485477178423236,0.015568862275449102,20.875,55001
ASHLAND COUNTY,2022_04_05-spring_election,800,602,2990,2990.0,16157.0,7.0,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",0.18505910750758187,0.20133779264214047,0.037259392213901094,16.157,55003
BARRON COUNTY,2022_04_05-spring_election,1791,1257,7441,7446.0,45870.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.16221931545672552,0.1689289074049187,0.02740353172007848,45.87,55005
BAYFIELD COUNTY,2022_04_05-spring_election,897,654,3607,3607.0,15014.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.2402424403889703,0.1813141114499584,0.04355934461169575,15.014,55007
BROWN COUNTY,2022_04_05-spring_election,15402,11637,36570,36554.0,248007.0,2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.14745551536851784,0.31821164889253484,0.04692206268371457,248.007,55009
BUFFALO COUNTY,2022_04_05-spring_election,285,203,2037,2037.0,13587.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.14992272024729522,0.09965635738831616,0.014940752189592994,13.587,55011
BURNETT COUNTY,2022_04_05-spring_election,598,369,2735,2735.0,15457.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.1769424856052274,0.13491773308957952,0.023872679045092837,15.457,55013
CALUMET COUNTY,2022_04_05-spring_election,2242,1716,9508,9505.0,48971.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.19415572481672827,0.1804795961295751,0.03504114680116804,48.971,55015
CHIPPEWA COUNTY,2022_04_05-spring_election,2215,1563,9964,9966.0,62415.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.1596411119122006,0.15686471296668006,0.025042057197788993,62.415,55017
CLARK COUNTY,2022_04_05-spring_election,567,463,4226,4227.0,34690.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.12182185067742865,0.10955986748698533,0.013346785817238397,34.69,55019
COLUMBIA COUNTY,2022_04_05-spring_election,2802,2047,11082,11079.0,56833.0,2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.1949923459961642,0.18471395055044215,0.036017806556050184,56.833,55021
CRAWFORD COUNTY,2022_04_05-spring_election,424,313,1806,1806.0,16644.0,7.0,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",0.10850757029560201,0.17331118493909192,0.018805575582792597,16.644,55023
DANE COUNTY,2022_04_05-spring_election,40340,27242,80813,80800.0,488073.0,2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.16557564134873268,0.33709922908442946,0.05581542105381777,488.073,55025
DODGE COUNTY,2022_04_05-spring_election,3296,2086,11721,11721.0,88759.0,4.0,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",0.13205421422052974,0.1779711628700623,0.023501842066719996,88.759,55027
DOOR COUNTY,2022_04_05-spring_election,1716,1247,5812,5812.0,27785.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.2091776138204067,0.21455609084652444,0.044880331113910384,27.785,55029
DOUGLAS COUNTY,2022_04_05-spring_election,2410,1617,6260,6263.0,44159.0,2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.14176045653207728,0.25830670926517574,0.036617677030729864,44.159,55031
DUNN COUNTY,2022_04_05-spring_election,1611,1197,7154,7154.0,43857.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.1631210525115717,0.16731898238747553,0.027293248512210138,43.857,55033
EAU CLAIRE COUNTY,2022_04_05-spring_election,5003,3898,18779,18779.0,98736.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.19019405282774265,0.20757228819425955,0.039479014746394425,98.736,55035
FLORENCE COUNTY,2022_04_05-spring_election,163,107,479,442.0,4423.0,9.0,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",0.10829753560931495,0.22338204592901878,0.02419172507347954,4.423,55037
