County,Election,absentees_issued,absentees_counted,Total Voters,Total Ballots,Population_2010,RUCC_2013,Description,turnout_%,absentee_%_of_voters,absentee_%_of_population,population_1000s,FIPS
ADAMS COUNTY,2018_11_07-general_election,1243,1185,9547,9547.0,20875.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.45734131736526945,0.12412276107677804,0.05676646706586826,20.875,55001
ASHLAND COUNTY,2018_11_07-general_election,943,876,6971,6973.0,16157.0,7.0,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",0.4314538590084793,0.12566346291780234,0.05421798601225475,16.157,55003
BARRON COUNTY,2018_11_07-general_election,2731,2585,18672,18674.0,45870.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.40706344015696533,0.138442587832048,0.05635491606714628,45.87,55005
BAYFIELD COUNTY,2018_11_07-general_election,1172,1105,8862,8862.0,15014.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.5902491008392168,0.12468968630106071,0.07359797522312508,15.014,55007
BROWN COUNTY,2018_11_07-general_election,29447,28180,116175,116188.0,248007.0,2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.4684343587076171,0.24256509576070584,0.11362582507751798,248.007,55009
BUFFALO COUNTY,2018_11_07-general_election,509,482,6014,6014.0,13587.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.4426289835872525,0.08014632524110409,0.035475086479723264,13.587,55011
BURNETT COUNTY,2018_11_07-general_election,785,735,7675,7679.0,15457.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.4965387850164974,0.09576547231270359,0.047551271268680854,15.457,55013
CALUMET COUNTY,2018_11_07-general_election,4739,4538,23790,23783.0,48971.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.48579771701619323,0.1907524169819252,0.09266708868514019,48.971,55015
CHIPPEWA COUNTY,2018_11_07-general_election,4661,4487,27928,27924.0,62415.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.44745654089561804,0.160663133772558,0.07188977008731876,62.415,55017
CLARK COUNTY,2018_11_07-general_election,893,854,11814,11814.0,34690.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.34055923897376766,0.0722871169798544,0.024618045546266936,34.69,55019
COLUMBIA COUNTY,2018_11_07-general_election,4614,4423,27157,27160.0,56833.0,2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.47783857969841464,0.16286776889936297,0.07782450336952122,56.833,55021
CRAWFORD COUNTY,2018_11_07-general_election,689,639,6647,6649.0,16644.0,7.0,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",0.3993631338620524,0.09613359410260268,0.03839221341023792,16.644,55023
DANE COUNTY,2018_11_07-general_election,91837,88158,295980,296056.0,488073.0,2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.606425678126018,0.29785120616257854,0.1806246196777941,488.073,55025
DODGE COUNTY,2018_11_07-general_election,5206,4959,38011,38013.0,88759.0,4.0,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",0.42824952962516477,0.13046223461629528,0.055870390608276345,88.759,55027
DOOR COUNTY,2018_11_07-general_election,3649,3526,17128,17135.0,27785.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.6164477235918662,0.20586174684726763,0.12690300521864314,27.785,55029
