County,Election,absentees_issued,absentees_counted,Total Voters,Total Ballots,Population_2010,RUCC_2013,Description,turnout_%,absentee_%_of_voters,absentee_%_of_population,population_1000s,FIPS
ADAMS COUNTY,2019_04_02-spring_election,365,334,4398,4398.0,20875.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.21068263473053891,0.07594361073215097,0.016,20.875,55001
ASHLAND COUNTY,2019_04_02-spring_election,341,263,3396,3396.0,16157.0,7.0,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",0.21018753481463143,0.07744405182567726,0.016277774339295663,16.157,55003
BARRON COUNTY,2019_04_02-spring_election,819,693,7925,7835.0,45870.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.17277087420972312,0.08744479495268138,0.015107913669064749,45.87,55005
BAYFIELD COUNTY,2019_04_02-spring_election,467,416,5010,5006.0,15014.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.3336885573464766,0.08303393213572854,0.027707473025176503,15.014,55007
BROWN COUNTY,2019_04_02-spring_election,7661,6524,51730,51729.0,248007.0,2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.20858282225904914,0.12611637347767254,0.02630570911304923,248.007,55009
BUFFALO COUNTY,2019_04_02-spring_election,140,121,2660,2661.0,13587.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.19577537351880475,0.04548872180451128,0.008905571502171193,13.587,55011
BURNETT COUNTY,2019_04_02-spring_election,181,145,3190,3189.0,15457.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.20637898686679174,0.045454545454545456,0.009380863039399626,15.457,55013
CALUMET COUNTY,2019_04_02-spring_election,903,735,10088,10090.0,48971.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.2059994690735333,0.0728588421887391,0.015008882808192604,48.971,55015
CHIPPEWA COUNTY,2019_04_02-spring_election,1051,852,10996,10995.0,62415.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.17617559881438757,0.0774827209894507,0.013650564768084595,62.415,55017
CLARK COUNTY,2019_04_02-spring_election,350,327,5731,5732.0,34690.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.16520611127125973,0.057058105042749954,0.009426347650619775,34.69,55019
COLUMBIA COUNTY,2019_04_02-spring_election,1260,1131,12795,12796.0,56833.0,2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.2251332852392096,0.0883939038686987,0.01990040997307902,56.833,55021
